event_id,En_MeV,x_mm,y_mm,z_mm,cosTheta,weight,time_ns,surface_id,surface_name
46449,0.682034,-27.669,32.94,1.12694,0.0603177,1,4.64571,3,side_y
38450,0.00589975,32.94,10.109,-3.74633,0.791491,1,16.1153,2,side_x
22478,0.279656,-32.94,-18.17,7.03759,0.0333914,1,13.3402,2,side_x
14493,0.14114,27.2272,-32.94,0.248532,-0.26463,1,4.24141,3,side_y
14493,0.372846,-32.94,-4.64762,18.1928,0.426226,1,6.57233,2,side_x
8480,0.42455,32.94,2.08381,14.4306,-0.637931,1,6.51255,2,side_x
16490,1.01492,32.94,-26.688,-6.7789,-0.32329,1,5.08452,2,side_x
18508,0.00281007,-32.94,-17.3431,-4.1053,0.347493,1,38.7043,2,side_x
30493,1.31935,-7.294,-32.94,18.4753,0.598904,1,4.31824,3,side_y
46486,0.832201,32.94,28.7125,-12.3538,-0.0626347,1,4.63818,2,side_x
42500,0.178676,33.19,18.7004,-20.5484,-0.866434,1,5.29509,2,side_x
511,0.730918,-9.47041,32.94,7.8494,0.52545,1,3.48352,3,side_y
42517,0.350093,32.94,-6.20309,-15.2437,0.203068,1,4.43474,2,side_x
16521,0.233394,18.9604,32.94,7.24901,0.273586,1,5.6827,3,side_y
2517,1.20453,-32.94,9.36914,16.9653,-0.845176,1,2.14616,2,side_x
36549,1.46589,33.19,-24.5637,4.88561,0.190615,1,3.97552,2,side_x
4546,0.261739,-13.5271,32.94,5.24511,-0.503603,1,7.72665,3,side_y
54579,0.637032,2.64437,32.94,1.8361,0.457128,1,3.89855,3,side_y
6574,3.60513,-32.94,20.7103,-4.51175,0.131369,1,2.74219,2,side_x
44567,4.72277e-08,-31.1611,33.19,-19.9344,-0.243738,1,38755.4,3,side_y
52580,0.698147,32.94,-26.4955,-20.7679,-0.348518,1,4.84411,2,side_x
6596,0.29055,-14.5004,32.94,19.0582,0.855989,1,12.5615,3,side_y
28597,1.32246,22.0948,32.94,-16.3178,-0.260774,1,3.77648,3,side_y
28597,0.00500615,32.94,14.4279,-15.258,0.752132,1,38.8295,2,side_x
600,0.44295,1.42183,32.94,9.66266,0.37994,1,5.34917,3,side_y
20612,0.0572581,18.4134,32.94,20.1233,0.26346,1,13.84,3,side_y
48620,0.880291,-8.54428,33.0063,-14.62,0.294708,1,4.25615,3,side_y
12628,0.570387,-33.19,30.4621,2.34917,-0.356741,1,5.25235,2,side_x
46602,0.426171,-7.67416,32.94,-20.2496,-0.221283,1,5.06891,3,side_y
4627,0.777507,-10.5145,-32.94,8.69911,0.438731,1,8.68849,3,side_y
54645,0.0914147,32.94,11.9687,-21.1219,-0.111895,1,21.6333,2,side_x
4634,1.32803,-32.94,8.39987,-15.7742,-0.360969,1,6.65831,2,side_x
34629,0.0817885,9.39913,32.94,-11.3356,0.216286,1,10.9427,3,side_y
26639,1.00628,10.4678,-32.9,-0.115225,-0.0762918,1,6.23073,3,side_y
38627,0.238858,18.5719,32.94,14.8409,0.443755,1,10.0182,3,side_y
22666,8.10365e-05,-5.78671,32.94,-11.2615,0.0705785,1,186.749,3,side_y
48665,0.300041,32.94,-12.4703,6.19518,0.382632,1,8.57042,2,side_x
46641,0.334777,32.94,-14.3365,-4.23807,0.542446,1,9.22007,2,side_x
28671,0.115044,-32.94,11.0159,-16.3473,-0.317736,1,19.1259,2,side_x
28671,0.886105,8.21922,-32.94,18.2924,-0.608849,1,7.27581,3,side_y
36684,0.407823,-32.94,-11.179,5.64147,0.14775,1,5.21289,2,side_x
18694,0.448183,24.505,-32.94,-6.06206,-0.341005,1,10.1566,3,side_y
12689,0.537355,3.62764,32.94,-21.629,-0.0646366,1,4.44176,3,side_y
12689,1.03141,-32.94,-6.90049,7.24656,0.183571,1,4.33931,2,side_x
28688,0.567719,-32.94,0.580158,-11.4067,0.0418336,1,5.57788,2,side_x
28688,0.0347899,-32.94,13.2274,-10.9447,-0.382881,1,13.7183,2,side_x
24671,0.768887,26.4141,-33.19,-14.8888,-0.185647,1,5.42085,3,side_y
10667,0.296065,-32.94,-23.2326,-17.0174,-0.381392,1,9.35709,2,side_x
26692,0.707182,13.6414,-32.9051,12.95,-0.506786,1,4.58012,3,side_y
34692,0.0704988,33.19,21.8992,22.6171,-0.179852,1,11.8851,2,side_x
2681,0.384728,16.2567,-33.19,-22.6502,-0.0689769,1,5.76975,3,side_y
6726,0.857721,32.94,-9.71454,8.19307,0.474561,1,5.21427,2,side_x
26751,0.00148937,-32.94,-1.01614,-17.2535,-0.15158,1,63.8292,2,side_x
44755,0.672752,-32.94,-3.47191,-11.8322,0.212667,1,7.07052,2,side_x
48769,0.236403,32.94,-8.64662,-10.0782,-0.706769,1,7.34354,2,side_x
22782,1.26805,-32.94,12.8511,14.9385,0.0552722,1,3.49146,2,side_x
44776,1.35341,32.94,17.5548,19.2355,0.723557,1,3.52525,2,side_x
32803,0.776331,-25.8719,33.19,-9.85778,-0.687023,1,6.66282,3,side_y
30802,0.717596,-17.7326,-32.94,-17.2492,-0.880082,1,8.86706,3,side_y
28810,1.10784,-4.58086,32.94,7.11428,0.65012,1,3.80153,3,side_y
28810,0.0444921,-32.94,-25.4696,19.7848,0.296597,1,16.1989,2,side_x
24792,0.722457,-13.3443,32.94,-21.2337,-0.0417359,1,3.90568,3,side_y
26805,0.266914,-32.9775,1.64605,-3.46,0.73188,1,18.4755,2,side_x
812,0.000653273,-22.792,-32.94,10.1099,0.180097,1,76.4013,3,side_y
24800,0.896797,-1.95296,-33.19,-14.6944,0.121307,1,6.42713,3,side_y
24800,0.0662764,32.94,-14.0627,14.5193,-0.143102,1,8.9549,2,side_x
42806,1.8681,32.94,14.7418,-6.41572,-0.0454607,1,3.35082,2,side_x
50822,0.000586377,0.765663,-32.94,-20.7863,0.564165,1,104.284,3,side_y
42813,0.567902,-32.94,6.49489,9.46459,0.0970669,1,4.3757,2,side_x
42823,0.367087,-32.94,-2.10679,-10.3854,-0.737668,1,6.94839,2,side_x
34827,0.0223101,-32.94,-11.8459,-5.29031,0.172738,1,28.0165,2,side_x
